name,brand,length_mm,tdp_watts,vram,memory_type,memory_bandwidth,pcie_version,power_connectors,recommended_psu,price_usd,release_date
GeForce RTX 4090,NVIDIA,336,450,24,GDDR6X,1008,4.0,1x 16-pin,850,1599,2022-10-12
GeForce RTX 4080 SUPER,NVIDIA,304,320,16,GDDR6X,736,4.0,1x 16-pin,750,999,2024-01-31
GeForce RTX 4070 Ti SUPER,NVIDIA,310,285,16,GDDR6X,672,4.0,1x 16-pin,700,799,2024-01-24
GeForce RTX 4070 SUPER,NVIDIA,280,220,12,GDDR6X,504,4.0,1x 16-pin,650,599,2024-01-17
GeForce RTX 4070,NVIDIA,240,200,12,GDDR6X,504,4.0,1x 8-pin,650,549,2023-04-13
GeForce RTX 4060 Ti,NVIDIA,240,160,8,GDDR6,288,4.0,1x 8-pin,550,399,2023-05-24
GeForce RTX 4060,NVIDIA,240,115,8,GDDR6,272,4.0,1x 8-pin,550,299,2023-06-29
Radeon RX 7900 XTX,AMD,287,355,24,GDDR6,960,4.0,2x 8-pin,800,949,2022-12-13
Radeon RX 7900 XT,AMD,276,315,20,GDDR6,800,4.0,2x 8-pin,750,799,2022-12-13
Radeon RX 7800 XT,AMD,267,263,16,GDDR6,624,4.0,2x 8-pin,700,499,2023-09-06
Radeon RX 7700 XT,AMD,267,245,12,GDDR6,432,4.0,2x 8-pin,650,449,2023-09-06
Radeon RX 7600,AMD,204,165,8,GDDR6,288,4.0,1x 8-pin,550,269,2023-05-25
